City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Leningradskiy,69.38,178.42,51.24,68,0,8.7,RU,1592269087
Sungai Raya,0.7,108.9,80.51,86,59,5.91,ID,1592269088
Bundaberg,-24.85,152.35,71.6,73,40,10.29,AU,1592269089
Mahanoro,-19.9,48.8,64.54,86,49,7.58,MG,1592269091
Mount Isa,-20.73,139.5,71.6,30,0,11.41,AU,1592269092
Batagay-Alyta,67.8,130.41,68.63,31,53,10.11,RU,1592269094
Gao,16.64,1.64,96.01,20,17,6.55,ML,1592269095
Otane,-39.88,176.63,59.16,61,100,2.21,NZ,1592269099
Vestmanna,62.16,-7.17,50.0,100,67,5.82,FO,1592269100
Dunedin,-45.87,170.5,59.0,54,86,11.99,NZ,1592269101
Longyearbyen,78.22,15.64,37.4,69,75,13.87,SJ,1592269102
Clyde River,70.47,-68.59,32.0,97,90,20.8,CA,1592268927
Tabou,4.42,-7.35,78.13,83,89,7.67,CI,1592269104
Kangaatsiaq,68.31,-53.46,36.81,80,0,16.84,GL,1592269105
Odienné,9.51,-7.57,75.74,80,89,3.6,CI,1592269106
Verkh-Usugli,52.7,115.17,79.02,35,0,1.61,RU,1592268888
San Lorenzo,-25.33,-57.53,77.0,69,0,8.05,PY,1592269109
Sandviken,60.62,16.77,52.0,76,100,1.99,SE,1592269110
Geraldton,-28.77,114.6,53.6,81,0,11.41,AU,1592268969
Parrita,9.52,-84.32,71.6,88,99,6.93,CR,1592269112
Constitución,-35.33,-72.42,55.17,90,100,23.33,CL,1592269113
Raudeberg,61.99,5.14,59.0,87,86,9.33,NO,1592269001
Severodvinsk,64.56,39.83,57.2,71,40,4.47,RU,1592269115
Minot,48.23,-101.3,79.0,44,1,6.93,US,1592269116
Vao,-22.67,167.48,73.8,73,0,18.75,NC,1592268999
Padang,-0.95,100.35,81.39,70,85,2.53,ID,1592269119
Iqaluit,63.75,-68.51,39.2,69,75,13.87,CA,1592269120
Deputatsky,69.3,139.9,71.35,32,95,14.5,RU,1592269121
Mattru,7.62,-11.83,74.82,97,35,2.39,SL,1592269122
Milan,45.46,9.19,66.99,93,100,8.05,IT,1592268952
Matai,-8.3,31.52,50.0,81,5,8.05,TZ,1592269125
Anaco,9.44,-64.47,76.15,87,100,6.67,VE,1592269126
Ponta Delgada,37.73,-25.67,62.6,77,20,17.22,PT,1592268893
Rawson,-43.3,-65.1,49.69,54,100,18.5,AR,1592268897
Kahului,20.89,-156.47,86.0,51,40,26.4,US,1592269086
Cobija,-11.03,-68.77,72.73,76,1,1.77,BO,1592269132
Slave Lake,55.28,-114.77,51.8,81,90,9.17,CA,1592269133
Constantine,36.37,6.61,59.0,58,0,2.24,DZ,1592269134
Shetpe,44.17,52.12,76.64,29,100,19.35,KZ,1592269135
Piney Green,34.72,-77.32,68.0,82,90,14.99,US,1592269136
San Cristobal,7.77,-72.22,84.2,51,40,14.99,VE,1592268844
Petrovskoye,57.01,39.27,56.34,95,100,6.53,RU,1592269138
Itacoatiara,-3.14,-58.44,77.7,73,0,0.81,BR,1592268991
Ayorou,14.73,0.92,96.96,28,32,7.49,NE,1592269140
Yoichi,43.2,140.77,66.2,77,75,17.22,JP,1592269142
Røros,62.57,11.38,44.6,100,0,1.12,NO,1592269143
Izberbash,42.57,47.86,71.6,73,55,8.95,RU,1592269144
Lázaro Cárdenas,17.96,-102.2,82.33,73,2,9.46,MX,1592269145
Tuy Hoa,13.08,109.3,80.4,82,100,3.85,VN,1592269146
Riyadh,24.69,46.72,87.8,22,0,3.36,SA,1592268904
Airai,-8.93,125.41,69.21,75,98,5.7,TL,1592268876
Champerico,14.3,-91.92,82.8,76,98,2.01,GT,1592269149
Mauguio,43.62,4.01,68.0,52,73,9.17,FR,1592269150
Yumen,40.28,97.2,73.26,27,98,5.88,CN,1592269151
Esil,51.96,66.4,57.51,68,10,8.41,KZ,1592269153
Hamilton,39.18,-84.53,75.0,57,53,5.12,US,1592269154
Pangnirtung,66.15,-65.71,35.56,85,100,3.27,CA,1592269155
Ponta do Sol,32.67,-17.1,68.0,94,75,8.05,PT,1592268944
Kavaratti,10.57,72.64,84.52,78,100,21.92,IN,1592268927
Iranshahr,27.2,60.68,95.0,19,100,4.7,IR,1592269158
Coyhaique,-45.58,-72.07,33.8,84,90,2.24,CL,1592269160
Trogir,43.51,16.25,66.2,82,0,2.24,HR,1592269161
Farim,12.48,-15.22,84.2,83,100,4.7,GW,1592269162
Dutlwe,-23.98,23.9,42.28,62,0,6.17,BW,1592269163
Baiyin,36.56,104.21,55.4,100,90,2.24,CN,1592269164
Teyateyaneng,-29.15,27.75,29.16,76,0,2.42,LS,1592269165
Sladkovo,55.53,70.34,52.83,72,4,3.69,RU,1592269166
Lokachi,50.74,24.65,61.0,98,13,8.16,UA,1592269023
Cap Malheureux,-19.98,57.61,69.01,78,94,5.01,MU,1592269171
Berlevåg,70.86,29.09,41.56,70,100,23.33,NO,1592268945
Sittwe,20.15,92.9,83.79,82,100,15.03,MM,1592268938
Belmonte,-15.86,-38.88,71.6,83,90,10.29,BR,1592269174
Zabul Province,32.25,67.25,67.57,23,0,7.16,AF,1592269175
Abu Samrah,35.3,37.18,65.16,62,0,7.14,SY,1592269176
Kawalu,-7.38,108.21,77.23,86,69,1.77,ID,1592269177
Coolum Beach,-26.53,153.1,64.99,92,94,3.0,AU,1592269178
Beira,-19.84,34.84,73.4,69,40,12.75,MZ,1592269179
Iki-Burul,45.82,44.65,75.2,29,68,13.42,RU,1592269180
Makkah al Mukarramah,21.43,39.83,90.21,19,0,4.41,SA,1592269182
Fraserburgh,57.69,-2.02,51.01,89,100,1.01,GB,1592269183
Hwange,-18.37,26.5,53.35,81,0,3.4,ZW,1592269185
Thompson,55.74,-97.86,66.2,77,90,2.24,CA,1592269043
Bambanglipuro,-7.95,110.28,81.88,80,5,9.37,ID,1592269187
Chicama,-7.84,-79.15,65.16,80,29,6.44,PE,1592269188
Samarai,-10.62,150.67,80.15,83,79,18.28,PG,1592269189
Vanavara,60.34,102.28,57.6,51,0,6.69,RU,1592268950
Flin Flon,54.77,-101.86,65.21,48,0,17.74,CA,1592269191
Alekseyevka,50.63,38.69,59.09,69,53,8.37,RU,1592269193
Rio Claro,-22.41,-47.56,57.2,93,0,4.7,BR,1592269194
Bāsudebpur,21.14,86.74,86.23,73,100,5.01,IN,1592269195
Paratinga,-12.69,-43.18,73.4,73,0,11.41,BR,1592269196
Douglas,41.3,-96.17,89.6,38,1,17.22,US,1592268978
Bonavista,48.65,-53.11,43.0,79,100,1.01,CA,1592269198
Paraúna,-16.95,-50.45,64.42,63,0,4.7,BR,1592269199
Batetskiy,58.65,30.3,61.11,97,17,3.91,RU,1592269200
Avera,33.19,-82.53,69.8,77,75,6.93,US,1592269201
Richards Bay,-28.78,32.04,55.92,72,0,8.21,ZA,1592269203
Buluang,13.31,123.34,86.88,61,48,1.41,PH,1592269204
Ancud,-41.87,-73.82,52.0,87,75,13.87,CL,1592269206
Hualmay,-11.1,-77.61,62.74,83,16,8.08,PE,1592269207
Yar-Sale,66.83,70.83,50.97,86,100,14.9,RU,1592269208
Luxor,25.7,32.64,80.6,39,0,6.46,EG,1592269210
Biltine,14.53,20.92,81.09,51,0,7.09,TD,1592269211
Seoul,37.57,126.98,75.2,64,75,5.82,KR,1592269167
Sorong,-0.88,131.25,82.98,74,0,4.99,ID,1592269213
Mt. Pleasant,32.79,-79.86,66.2,93,90,11.41,US,1592269214
Acton Vale,45.65,-72.57,64.99,47,100,2.84,CA,1592269215
Quzhou,28.96,118.87,85.95,71,100,7.0,CN,1592269216
Kati,12.74,-8.07,80.6,74,100,3.36,ML,1592269218
Marabu,4.41,114.01,84.2,83,75,2.24,MY,1592269219
Biak,-0.91,122.88,81.48,76,2,5.77,ID,1592269220
Pendleton,45.67,-118.79,64.0,67,40,10.29,US,1592269124
Pisco,-13.7,-76.22,64.4,82,20,4.7,PE,1592268983
Daru,-9.08,143.21,80.37,83,59,19.15,PG,1592269224
Slonim,53.09,25.32,55.53,86,47,4.59,BY,1592269227
Kutulik,53.35,102.78,53.58,90,100,14.12,RU,1592269229
Dingle,11.0,122.67,84.7,73,100,9.66,PH,1592269230
Chililabombwe,-12.36,27.82,51.8,79,20,6.53,ZM,1592269216
Sal Rei,16.18,-22.92,78.8,88,0,11.41,CV,1592269232
Kaeo,-35.1,173.78,61.0,3,100,5.01,NZ,1592269233
Pangani,-5.43,38.97,70.83,88,74,11.18,TZ,1592269234
Hashimoto,34.32,135.62,80.01,69,75,10.29,JP,1592269235
Nizwá,22.93,57.53,85.8,37,72,1.01,OM,1592269237
Dicabisagan,17.08,122.42,85.93,64,62,3.22,PH,1592269238
Port Blair,11.67,92.75,83.79,80,100,19.57,IN,1592269237
Ulaangom,49.98,92.07,64.6,52,4,5.79,MN,1592269240
Alta,69.97,23.27,44.6,70,18,13.87,NO,1592268973
Khanbari,27.37,87.2,75.13,71,100,0.92,NP,1592269242
Ajuchitlán,20.72,-100.02,78.8,26,40,21.92,MX,1592269243
Yuncheng,35.02,110.99,70.47,79,100,5.91,CN,1592269245
Opuwo,-18.06,13.84,55.13,44,0,7.54,NA,1592269246
Noumea,-22.28,166.46,80.6,42,1,8.05,NC,1592269204
Ashland,40.82,-82.27,75.2,53,1,5.82,US,1592269104
Domoni,-12.26,44.53,74.75,73,55,11.01,KM,1592269250
Sol'vychegodsk,61.33,46.92,56.91,83,0,5.59,RU,1592269251
Leninsk,48.71,45.2,60.8,36,1,11.18,RU,1592269252
Meridian,43.61,-116.39,57.99,76,20,5.82,US,1592269250
Talnakh,69.49,88.4,42.8,75,75,15.66,RU,1592269254
Grão Mogol,-16.56,-42.89,60.82,98,52,5.08,BR,1592269255
Khilok,51.37,110.47,78.48,35,93,2.48,RU,1592269256
Ust'-Karsk,52.7,118.81,81.46,35,59,2.17,RU,1592269258
Inírida,3.87,-67.92,74.26,97,100,2.84,CO,1592269045
Zhigansk,66.77,123.37,55.58,73,100,21.7,RU,1592269260
Prestea,5.43,-2.14,73.44,93,89,1.74,GH,1592269261
Lohr a. Main,49.99,9.58,59.0,96,100,1.01,DE,1592269262
Grand Gaube,-20.01,57.66,69.01,78,95,5.01,MU,1592269259
Kutum,14.2,24.67,74.77,47,25,2.73,SD,1592269264
Sambava,-14.27,50.17,71.73,88,100,9.95,MG,1592269265
Hay River,60.82,-115.8,48.2,76,75,13.87,CA,1592269266
Key West,24.56,-81.78,89.6,62,1,5.82,US,1592269267
San Jose de Guanipa,8.89,-64.17,79.05,78,100,9.51,VE,1592269269
Mata,40.68,-7.46,54.0,92,100,3.2,PT,1592269270
Qaqortoq,60.72,-46.03,42.8,75,100,3.36,GL,1592269157
Suclayin,15.76,121.55,85.1,71,27,3.87,PH,1592269272
Meulaboh,4.14,96.13,78.44,85,100,3.67,ID,1592269274
Riachão das Neves,-11.75,-44.91,70.61,63,7,5.99,BR,1592269275
Morant Bay,17.88,-76.41,86.0,74,20,14.99,JM,1592269008
Oistins,13.07,-59.53,82.4,69,40,19.46,BB,1592269278
Libreville,0.39,9.45,77.0,88,75,4.7,GA,1592269279
Itaituba,-4.28,-55.98,76.71,73,49,1.66,BR,1592269107
Quelimane,-17.88,36.89,63.14,89,10,5.3,MZ,1592269281
Eureka,40.8,-124.16,63.0,87,90,8.05,US,1592269021
Nosy Varika,-20.58,48.53,63.3,87,1,6.93,MG,1592269283
Antsohihy,-14.88,47.99,74.16,62,87,5.75,MG,1592269284
Burns Lake,54.23,-125.75,64.04,34,93,9.95,CA,1592269259
Hebi,35.9,114.19,70.65,74,100,10.16,CN,1592269287
Cayenne,4.93,-52.33,77.0,100,100,2.8,GF,1592269003
Båtsfjord,70.63,29.72,41.41,68,89,21.99,NO,1592269290
Muhos,64.81,25.99,57.2,87,3,6.93,FI,1592269291
