City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Rosarito,MX,32.33,-117.03,71.6,60.0,5.0,16.11
Kondinskoye,RU,59.65,67.41,60.21,69.0,28.0,7.7
Saskylakh,RU,71.92,114.08,50.2,82.0,100.0,11.92
Itaí,BR,-23.42,-49.09,57.4,96.0,11.0,10.11
Kasongo-Lunda,CD,-6.47,16.82,67.1,50.0,3.0,1.5
Price,US,39.6,-110.81,84.2,9.0,1.0,11.41
Port Hardy,CA,50.7,-127.42,53.6,93.0,75.0,6.93
Koygorodok,RU,60.45,51.0,56.75,80.0,2.0,6.26
Leningradskiy,RU,69.38,178.42,51.24,68.0,0.0,8.7
Sungai Raya,ID,0.7,108.9,80.51,86.0,59.0,5.91
Bundaberg,AU,-24.85,152.35,71.6,73.0,40.0,10.29
Mahanoro,MG,-19.9,48.8,64.54,86.0,49.0,7.58
Mount Isa,AU,-20.73,139.5,71.6,30.0,0.0,11.41
Batagay-Alyta,RU,67.8,130.41,68.63,31.0,53.0,10.11
Gao,ML,16.64,1.64,96.01,20.0,17.0,6.55
Otane,NZ,-39.88,176.63,59.16,61.0,100.0,2.21
Vestmanna,FO,62.16,-7.17,50.0,100.0,67.0,5.82
Dunedin,NZ,-45.87,170.5,59.0,54.0,86.0,11.99
Longyearbyen,SJ,78.22,15.64,37.4,69.0,75.0,13.87
Clyde River,CA,70.47,-68.59,32.0,97.0,90.0,20.8
Tabou,CI,4.42,-7.35,78.13,83.0,89.0,7.67
Kangaatsiaq,GL,68.31,-53.46,36.81,80.0,0.0,16.84
Odienné,CI,9.51,-7.57,75.74,80.0,89.0,3.6
Verkh-Usugli,RU,52.7,115.17,79.02,35.0,0.0,1.61
San Lorenzo,PY,-25.33,-57.53,77.0,69.0,0.0,8.05
Sandviken,SE,60.62,16.77,52.0,76.0,100.0,1.99
Geraldton,AU,-28.77,114.6,53.6,81.0,0.0,11.41
Parrita,CR,9.52,-84.32,71.6,88.0,99.0,6.93
Constitución,CL,-35.33,-72.42,55.17,90.0,100.0,23.33
Raudeberg,NO,61.99,5.14,59.0,87.0,86.0,9.33
Severodvinsk,RU,64.56,39.83,57.2,71.0,40.0,4.47
Minot,US,48.23,-101.3,79.0,44.0,1.0,6.93
Vao,NC,-22.67,167.48,73.8,73.0,0.0,18.75
Padang,ID,-0.95,100.35,81.39,70.0,85.0,2.53
Iqaluit,CA,63.75,-68.51,39.2,69.0,75.0,13.87
Deputatsky,RU,69.3,139.9,71.35,32.0,95.0,14.5
Mattru,SL,7.62,-11.83,74.82,97.0,35.0,2.39
Milan,IT,45.46,9.19,66.99,93.0,100.0,8.05
Matai,TZ,-8.3,31.52,50.0,81.0,5.0,8.05
Anaco,VE,9.44,-64.47,76.15,87.0,100.0,6.67
Ponta Delgada,PT,37.73,-25.67,62.6,77.0,20.0,17.22
Rawson,AR,-43.3,-65.1,49.69,54.0,100.0,18.5
Kahului,US,20.89,-156.47,86.0,51.0,40.0,26.4
Cobija,BO,-11.03,-68.77,72.73,76.0,1.0,1.77
Slave Lake,CA,55.28,-114.77,51.8,81.0,90.0,9.17
Constantine,DZ,36.37,6.61,59.0,58.0,0.0,2.24
Shetpe,KZ,44.17,52.12,76.64,29.0,100.0,19.35
Piney Green,US,34.72,-77.32,68.0,82.0,90.0,14.99
San Cristobal,VE,7.77,-72.22,84.2,51.0,40.0,14.99
Petrovskoye,RU,57.01,39.27,56.34,95.0,100.0,6.53
Itacoatiara,BR,-3.14,-58.44,77.7,73.0,0.0,0.81
Ayorou,NE,14.73,0.92,96.96,28.0,32.0,7.49
Yoichi,JP,43.2,140.77,66.2,77.0,75.0,17.22
Røros,NO,62.57,11.38,44.6,100.0,0.0,1.12
Izberbash,RU,42.57,47.86,71.6,73.0,55.0,8.95
Lázaro Cárdenas,MX,17.96,-102.2,82.33,73.0,2.0,9.46
Tuy Hoa,VN,13.08,109.3,80.4,82.0,100.0,3.85
Riyadh,SA,24.69,46.72,87.8,22.0,0.0,3.36
Airai,TL,-8.93,125.41,69.21,75.0,98.0,5.7
Champerico,GT,14.3,-91.92,82.8,76.0,98.0,2.01
Mauguio,FR,43.62,4.01,68.0,52.0,73.0,9.17
Yumen,CN,40.28,97.2,73.26,27.0,98.0,5.88
Esil,KZ,51.96,66.4,57.51,68.0,10.0,8.41
Hamilton,US,39.18,-84.53,75.0,57.0,53.0,5.12
Pangnirtung,CA,66.15,-65.71,35.56,85.0,100.0,3.27
Ponta do Sol,PT,32.67,-17.1,68.0,94.0,75.0,8.05
Kavaratti,IN,10.57,72.64,84.52,78.0,100.0,21.92
Iranshahr,IR,27.2,60.68,95.0,19.0,100.0,4.7
Coyhaique,CL,-45.58,-72.07,33.8,84.0,90.0,2.24
Trogir,HR,43.51,16.25,66.2,82.0,0.0,2.24
Farim,GW,12.48,-15.22,84.2,83.0,100.0,4.7
Dutlwe,BW,-23.98,23.9,42.28,62.0,0.0,6.17
Baiyin,CN,36.56,104.21,55.4,100.0,90.0,2.24
Teyateyaneng,LS,-29.15,27.75,29.16,76.0,0.0,2.42
Sladkovo,RU,55.53,70.34,52.83,72.0,4.0,3.69
Lokachi,UA,50.74,24.65,61.0,98.0,13.0,8.16
Cap Malheureux,MU,-19.98,57.61,69.01,78.0,94.0,5.01
Berlevåg,NO,70.86,29.09,41.56,70.0,100.0,23.33
Sittwe,MM,20.15,92.9,83.79,82.0,100.0,15.03
Belmonte,BR,-15.86,-38.88,71.6,83.0,90.0,10.29
Zabul Province,AF,32.25,67.25,67.57,23.0,0.0,7.16
Abu Samrah,SY,35.3,37.18,65.16,62.0,0.0,7.14
Kawalu,ID,-7.38,108.21,77.23,86.0,69.0,1.77
Coolum Beach,AU,-26.53,153.1,64.99,92.0,94.0,3.0
Beira,MZ,-19.84,34.84,73.4,69.0,40.0,12.75
Iki-Burul,RU,45.82,44.65,75.2,29.0,68.0,13.42
Makkah al Mukarramah,SA,21.43,39.83,90.21,19.0,0.0,4.41
Fraserburgh,GB,57.69,-2.02,51.01,89.0,100.0,1.01
Hwange,ZW,-18.37,26.5,53.35,81.0,0.0,3.4
Thompson,CA,55.74,-97.86,66.2,77.0,90.0,2.24
Bambanglipuro,ID,-7.95,110.28,81.88,80.0,5.0,9.37
Chicama,PE,-7.84,-79.15,65.16,80.0,29.0,6.44
Samarai,PG,-10.62,150.67,80.15,83.0,79.0,18.28
Vanavara,RU,60.34,102.28,57.6,51.0,0.0,6.69
Flin Flon,CA,54.77,-101.86,65.21,48.0,0.0,17.74
Alekseyevka,RU,50.63,38.69,59.09,69.0,53.0,8.37
Rio Claro,BR,-22.41,-47.56,57.2,93.0,0.0,4.7
Bāsudebpur,IN,21.14,86.74,86.23,73.0,100.0,5.01
Paratinga,BR,-12.69,-43.18,73.4,73.0,0.0,11.41
Douglas,US,41.3,-96.17,89.6,38.0,1.0,17.22
Bonavista,CA,48.65,-53.11,43.0,79.0,100.0,1.01
Paraúna,BR,-16.95,-50.45,64.42,63.0,0.0,4.7
Batetskiy,RU,58.65,30.3,61.11,97.0,17.0,3.91
Avera,US,33.19,-82.53,69.8,77.0,75.0,6.93
Richards Bay,ZA,-28.78,32.04,55.92,72.0,0.0,8.21
Buluang,PH,13.31,123.34,86.88,61.0,48.0,1.41
Ancud,CL,-41.87,-73.82,52.0,87.0,75.0,13.87
Hualmay,PE,-11.1,-77.61,62.74,83.0,16.0,8.08
Yar-Sale,RU,66.83,70.83,50.97,86.0,100.0,14.9
Luxor,EG,25.7,32.64,80.6,39.0,0.0,6.46
Biltine,TD,14.53,20.92,81.09,51.0,0.0,7.09
Seoul,KR,37.57,126.98,75.2,64.0,75.0,5.82
Sorong,ID,-0.88,131.25,82.98,74.0,0.0,4.99
Mt. Pleasant,US,32.79,-79.86,66.2,93.0,90.0,11.41
Acton Vale,CA,45.65,-72.57,64.99,47.0,100.0,2.84
Quzhou,CN,28.96,118.87,85.95,71.0,100.0,7.0
Kati,ML,12.74,-8.07,80.6,74.0,100.0,3.36
Marabu,MY,4.41,114.01,84.2,83.0,75.0,2.24
Biak,ID,-0.91,122.88,81.48,76.0,2.0,5.77
Pendleton,US,45.67,-118.79,64.0,67.0,40.0,10.29
Pisco,PE,-13.7,-76.22,64.4,82.0,20.0,4.7
Daru,PG,-9.08,143.21,80.37,83.0,59.0,19.15
Slonim,BY,53.09,25.32,55.53,86.0,47.0,4.59
Kutulik,RU,53.35,102.78,53.58,90.0,100.0,14.12
Dingle,PH,11.0,122.67,84.7,73.0,100.0,9.66
Chililabombwe,ZM,-12.36,27.82,51.8,79.0,20.0,6.53
Sal Rei,CV,16.18,-22.92,78.8,88.0,0.0,11.41
Kaeo,NZ,-35.1,173.78,61.0,3.0,100.0,5.01
Pangani,TZ,-5.43,38.97,70.83,88.0,74.0,11.18
Hashimoto,JP,34.32,135.62,80.01,69.0,75.0,10.29
Nizwá,OM,22.93,57.53,85.8,37.0,72.0,1.01
Dicabisagan,PH,17.08,122.42,85.93,64.0,62.0,3.22
Port Blair,IN,11.67,92.75,83.79,80.0,100.0,19.57
Ulaangom,MN,49.98,92.07,64.6,52.0,4.0,5.79
Alta,NO,69.97,23.27,44.6,70.0,18.0,13.87
Khanbari,NP,27.37,87.2,75.13,71.0,100.0,0.92
Ajuchitlán,MX,20.72,-100.02,78.8,26.0,40.0,21.92
Yuncheng,CN,35.02,110.99,70.47,79.0,100.0,5.91
Opuwo,NA,-18.06,13.84,55.13,44.0,0.0,7.54
Noumea,NC,-22.28,166.46,80.6,42.0,1.0,8.05
Ashland,US,40.82,-82.27,75.2,53.0,1.0,5.82
Domoni,KM,-12.26,44.53,74.75,73.0,55.0,11.01
Sol'vychegodsk,RU,61.33,46.92,56.91,83.0,0.0,5.59
Leninsk,RU,48.71,45.2,60.8,36.0,1.0,11.18
Meridian,US,43.61,-116.39,57.99,76.0,20.0,5.82
Talnakh,RU,69.49,88.4,42.8,75.0,75.0,15.66
Grão Mogol,BR,-16.56,-42.89,60.82,98.0,52.0,5.08
Khilok,RU,51.37,110.47,78.48,35.0,93.0,2.48
Ust'-Karsk,RU,52.7,118.81,81.46,35.0,59.0,2.17
Inírida,CO,3.87,-67.92,74.26,97.0,100.0,2.84
Zhigansk,RU,66.77,123.37,55.58,73.0,100.0,21.7
Prestea,GH,5.43,-2.14,73.44,93.0,89.0,1.74
Lohr a. Main,DE,49.99,9.58,59.0,96.0,100.0,1.01
Grand Gaube,MU,-20.01,57.66,69.01,78.0,95.0,5.01
Kutum,SD,14.2,24.67,74.77,47.0,25.0,2.73
Sambava,MG,-14.27,50.17,71.73,88.0,100.0,9.95
Hay River,CA,60.82,-115.8,48.2,76.0,75.0,13.87
Key West,US,24.56,-81.78,89.6,62.0,1.0,5.82
San Jose de Guanipa,VE,8.89,-64.17,79.05,78.0,100.0,9.51
Mata,PT,40.68,-7.46,54.0,92.0,100.0,3.2
Qaqortoq,GL,60.72,-46.03,42.8,75.0,100.0,3.36
Suclayin,PH,15.76,121.55,85.1,71.0,27.0,3.87
Meulaboh,ID,4.14,96.13,78.44,85.0,100.0,3.67
Riachão das Neves,BR,-11.75,-44.91,70.61,63.0,7.0,5.99
Morant Bay,JM,17.88,-76.41,86.0,74.0,20.0,14.99
Oistins,BB,13.07,-59.53,82.4,69.0,40.0,19.46
Libreville,GA,0.39,9.45,77.0,88.0,75.0,4.7
Itaituba,BR,-4.28,-55.98,76.71,73.0,49.0,1.66
Quelimane,MZ,-17.88,36.89,63.14,89.0,10.0,5.3
Eureka,US,40.8,-124.16,63.0,87.0,90.0,8.05
Nosy Varika,MG,-20.58,48.53,63.3,87.0,1.0,6.93
Antsohihy,MG,-14.88,47.99,74.16,62.0,87.0,5.75
Burns Lake,CA,54.23,-125.75,64.04,34.0,93.0,9.95
Hebi,CN,35.9,114.19,70.65,74.0,100.0,10.16
Cayenne,GF,4.93,-52.33,77.0,100.0,100.0,2.8
Båtsfjord,NO,70.63,29.72,41.41,68.0,89.0,21.99
Muhos,FI,64.81,25.99,57.2,87.0,3.0,6.93
Ugoofaaru,MV,5.67,73.0,84.76,77.0,100.0,18.32
Joshīmath,IN,30.57,79.57,64.24,43.0,20.0,3.27
Vardø,NO,70.37,31.11,42.49,70.0,78.0,21.25
Azángaro,PE,-14.92,-70.22,43.11,66.0,100.0,2.42
Grand-Lahou,CI,5.14,-5.02,76.91,87.0,51.0,7.56
Anadyr,RU,64.75,177.48,53.6,62.0,55.0,11.18
Arman',RU,59.7,150.17,60.73,49.0,0.0,6.55
Alekseyevsk,RU,57.84,108.35,62.28,90.0,100.0,4.07
Mahon,ES,39.89,4.27,64.4,93.0,76.0,3.36
Chebarkul',RU,54.97,60.36,52.97,83.0,28.0,4.0
Namatanai,PG,-3.67,152.43,84.67,70.0,86.0,7.23
Sobolevo,RU,54.43,31.9,62.24,96.0,72.0,5.59
